Generation,Block,Dish,Lineage,Sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
2,1,7,D3,M,1,2,4,6,1,2,0,0
2,1,23,D3,M,4,3,7,0,0,0,0,1
2,1,39,D3,M,3,1,0,2,9,1,0,0
2,1,9,D4,M,1,0,4,0,2,1,6,1
2,1,25,D4,M,3,1,2,1,4,1,2,2
2,1,41,D4,M,4,1,3,6,0,1,0,0
2,1,13,U1,M,3,7,2,3,0,1,0,0
2,1,29,U1,M,3,2,1,3,3,3,1,0
2,1,45,U1,M,1,4,0,0,1,1,4,5
2,1,2,U2,M,1,2,1,2,0,0,2,6
2,1,18,U2,M,0,1,2,1,1,2,5,3
2,1,34,U2,M,0,3,5,2,1,2,0,2
2,1,4,U3,M,2,1,0,1,1,0,7,1
2,1,20,U3,M,0,4,0,0,9,0,1,1
2,1,36,U3,M,1,1,3,1,0,0,5,5
2,1,1,U4,M,3,1,6,1,0,1,2,1
2,1,17,U4,M,5,1,2,0,0,0,1,7
2,1,33,U4,M,0,1,2,1,8,3,0,0
2,2,13,D1,F,0,6,0,0,1,6,0,3
2,2,29,D1,F,0,1,6,0,1,1,7,0
2,2,45,D1,F,2,3,0,3,1,1,2,4
2,2,7,D2,F,1,4,6,1,2,1,1,0
